Block Height|Ether Price
0|0
3125|0
6250|0
9375|0
12500|0
15625|0
18750|0
21875|0
25000|0
28125|0
31250|0
34375|0
37500|0
40625|0
43750|0
46875|2
50000|2
53125|0
56250|0
59375|0
62500|0
65625|0
68750|1
71875|1
75000|1
78125|1
81250|1
84375|1
87500|1
90625|1
93750|1
96875|1
100000|1
103125|1
106250|1
109375|1
112500|1
115625|1
118750|1
121875|1
125000|1
128125|1
131250|1
134375|1
137500|1
140625|1
143750|1
146875|1
150000|1
153125|1
156250|1
159375|1
162500|1
165625|1
168750|1
171875|1
175000|1
178125|1
181250|1
184375|1
187500|1
190625|1
193750|1
196875|1
200000|1
203125|1
206250|1
209375|1
212500|1
215625|0
218750|0
221875|1
225000|1
228125|0
231250|0
234375|0
237500|0
240625|0
243750|0
246875|0
250000|0
253125|0
256250|0
259375|0
262500|0
265625|0
268750|0
271875|0
275000|0
278125|0
281250|0
284375|0
287500|0
290625|0
293750|0
296875|0
300000|0
303125|0
306250|0
309375|0
312500|0
315625|0
318750|0
321875|0
325000|0
328125|0
331250|0
334375|0
337500|0
340625|0
343750|0
346875|0
350000|0
353125|0
356250|0
359375|0
362500|0
365625|0
368750|0
371875|0
375000|0
378125|0
381250|0
384375|0
387500|0
390625|0
393750|0
396875|0
400000|0
403125|0
406250|0
409375|0
412500|0
415625|0
418750|0
421875|0
425000|0
428125|0
431250|0
434375|0
437500|0
440625|0
443750|0
446875|0
450000|0
453125|1
456250|1
459375|1
462500|1
465625|0
468750|0
471875|1
475000|1
478125|0
481250|1
484375|1
487500|0
490625|0
493750|0
496875|0
500000|0
503125|0
506250|1
509375|1
512500|1
515625|1
518750|0
521875|0
525000|0
528125|0
531250|0
534375|0
537500|0
540625|0
543750|0
546875|0
550000|0
553125|1
556250|1
559375|0
562500|0
565625|0
568750|0
571875|0
575000|0
578125|0
581250|0
584375|0
587500|0
590625|0
593750|0
596875|0
600000|0
603125|0
606250|0
609375|0
612500|0
615625|0
618750|0
621875|0
625000|0
628125|0
631250|0
634375|0
637500|0
640625|0
643750|0
646875|0
650000|0
653125|0
656250|0
659375|0
662500|0
665625|0
668750|0
671875|0
675000|0
678125|0
681250|0
684375|0
687500|0
690625|0
693750|1
696875|1
700000|0
703125|0
706250|0
709375|0
712500|0
715625|0
718750|0
721875|0
725000|0
728125|0
731250|0
734375|0
737500|0
740625|0
743750|0
746875|0
750000|0
753125|0
756250|0
759375|0
762500|0
765625|0
768750|0
771875|0
775000|0
778125|0
781250|0
784375|0
787500|0
790625|0
793750|0
796875|0
800000|0
803125|0
806250|0
809375|0
812500|0
815625|0
818750|0
821875|0
825000|0
828125|0
831250|1
834375|1
837500|1
840625|1
843750|1
846875|1
850000|1
853125|1
856250|1
859375|1
862500|1
865625|1
868750|1
871875|1
875000|1
878125|1
881250|1
884375|1
887500|1
