Block Height|Mined by
0|0x0000000000000000000000000000000000000000(Null Address: 0x000...000) 
3125|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
6250|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
9375|0xA1623430350C5df1b52B0b57483A5bb45d1796Da 
12500|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
15625|0xbb7B8287f3F0a933474a79eAe42CBCa977791171 
18750|0x3fe698DDd00ce16bFb0F2B875D29Cf6B91eB677d 
21875|0xa50ec0D39fa913E62f1Bae7074E6F36caA71855b 
25000|0xbcB2E3693d246E1fc00348754334BadEb88b2a11 
28125|0xbcB2E3693d246E1fc00348754334BadEb88b2a11 
31250|0xa50ec0D39fa913E62f1Bae7074E6F36caA71855b 
34375|0x9fcBD3A8c93c4d6788d742a7b5D0F20ceE8fa798 
37500|0x33b01a7fe4A1a5F774Bb73f89A4eF15a6Ffe1141 
40625|0xa50ec0D39fa913E62f1Bae7074E6F36caA71855b 
43750|0x53824166ea5271d3425e3194c848A90CA4e97eB2 
46875|0xe64D681b0eBCa2997D5f35e72EbC7777973299D7 
50000|0xa50ec0D39fa913E62f1Bae7074E6F36caA71855b 
53125|0x02020D22dCF88f5eDd66B382D7da019F161fB7e3 
56250|0xf8E0CA3Ed80bd541b94BEdCf259e8CF2141A9523 
59375|0x47ff6576639c2e94762eA5443978D7681C0E78DC 
62500|0x1327bD31578E52307b9A2A09122d2E6662d40513 
65625|0xde8B4cca204F866220e8e25817668Cd44a5fee88 
68750|0x47ff6576639c2e94762eA5443978D7681C0E78DC 
71875|0x9746c7e1ef2bd21FF3997fa467593a89cb852BD0 
75000|0x9746c7e1ef2bd21FF3997fa467593a89cb852BD0 
78125|0x52Dc504a422f0E2A9e7632A34a50f1a82F8224c7 
81250|0x4947190fcC30D3fb3a16233b259bFe6b3492339a 
84375|0x7D45E10A0d63eCCA0694a7cbfF030f4dD87DA0dC 
87500|0xA1623430350C5df1b52B0b57483A5bb45d1796Da 
90625|0x88F859e1F0A7C49985f0dDEa95d97c6C93435320 
93750|Ethpool 
96875|0x7E6930B63D03e88F5928C5cd6ee3FCee4D714F7F 
100000|Ethpool 
103125|0xf927a40C8B7F6E07c5af7FA2155B4864a4112B13 
106250|0x35e8e5dC5FBd97c5b421A80B596C030a2Be2A04D 
109375|Ethpool 
112500|0x580992B51e3925e23280EfB93d3047C82f17E038 
