Block Height|Timestamp|Ether Price
0|Jul-30-2015|0
3125|Jul-30-2015|0
6250|Jul-30-2015|0
9375|Jul-31-2015|0
12500|Jul-31-2015|0
15625|Aug-01-2015|0
18750|Aug-01-2015|0
21875|Aug-02-2015|0
25000|Aug-03-2015|0
28125|Aug-03-2015|0
31250|Aug-04-2015|0
34375|Aug-04-2015|0
37500|Aug-05-2015|0
40625|Aug-06-2015|0
43750|Aug-06-2015|0
46875|Aug-07-2015|2
50000|Aug-07-2015|2
53125|Aug-08-2015|0
56250|Aug-09-2015|0
59375|Aug-09-2015|0
62500|Aug-10-2015|0
65625|Aug-10-2015|0
68750|Aug-11-2015|1
71875|Aug-12-2015|1
75000|Aug-12-2015|1
78125|Aug-13-2015|1
81250|Aug-13-2015|1
84375|Aug-14-2015|1
87500|Aug-14-2015|1
90625|Aug-15-2015|1
93750|Aug-16-2015|1
96875|Aug-16-2015|1
100000|Aug-17-2015|1
103125|Aug-17-2015|1
106250|Aug-18-2015|1
109375|Aug-19-2015|1
112500|Aug-19-2015|1
115625|Aug-20-2015|1
118750|Aug-21-2015|1
121875|Aug-21-2015|1
125000|Aug-22-2015|1
128125|Aug-22-2015|1
131250|Aug-23-2015|1
134375|Aug-24-2015|1
137500|Aug-24-2015|1
140625|Aug-25-2015|1
143750|Aug-26-2015|1
146875|Aug-26-2015|1
150000|Aug-27-2015|1
153125|Aug-27-2015|1
156250|Aug-28-2015|1
159375|Aug-29-2015|1
162500|Aug-30-2015|1
165625|Aug-30-2015|1
168750|Aug-31-2015|1
171875|Sep-01-2015|1
175000|Sep-02-2015|1
178125|Sep-03-2015|1
181250|Sep-03-2015|1
184375|Sep-04-2015|1
187500|Sep-05-2015|1
190625|Sep-05-2015|1
193750|Sep-06-2015|1
196875|Sep-07-2015|1
200000|Sep-07-2015|1
203125|Sep-08-2015|1
206250|Sep-09-2015|1
209375|Sep-09-2015|1
212500|Sep-10-2015|1
215625|Sep-11-2015|0
218750|Sep-11-2015|0
221875|Sep-12-2015|1
225000|Sep-12-2015|1
228125|Sep-13-2015|0
231250|Sep-14-2015|0
234375|Sep-14-2015|0
237500|Sep-15-2015|0
240625|Sep-16-2015|0
243750|Sep-16-2015|0
246875|Sep-17-2015|0
250000|Sep-17-2015|0
253125|Sep-18-2015|0
256250|Sep-19-2015|0
259375|Sep-19-2015|0
262500|Sep-20-2015|0
265625|Sep-21-2015|0
268750|Sep-21-2015|0
271875|Sep-22-2015|0
275000|Sep-22-2015|0
278125|Sep-23-2015|0
281250|Sep-24-2015|0
284375|Sep-24-2015|0
287500|Sep-25-2015|0
290625|Sep-25-2015|0
293750|Sep-26-2015|0
296875|Sep-27-2015|0
300000|Sep-27-2015|0
303125|Sep-28-2015|0
306250|Sep-29-2015|0
309375|Sep-29-2015|0
312500|Sep-30-2015|0
315625|Oct-01-2015|0
318750|Oct-01-2015|0
321875|Oct-02-2015|0
325000|Oct-03-2015|0
328125|Oct-03-2015|0
331250|Oct-04-2015|0
334375|Oct-04-2015|0
337500|Oct-05-2015|0
340625|Oct-06-2015|0
343750|Oct-06-2015|0
346875|Oct-07-2015|0
350000|Oct-08-2015|0
353125|Oct-08-2015|0
356250|Oct-09-2015|0
359375|Oct-09-2015|0
362500|Oct-10-2015|0
365625|Oct-11-2015|0
368750|Oct-11-2015|0
371875|Oct-12-2015|0
375000|Oct-13-2015|0
378125|Oct-13-2015|0
381250|Oct-14-2015|0
384375|Oct-14-2015|0
387500|Oct-15-2015|0
390625|Oct-16-2015|0
393750|Oct-16-2015|0
396875|Oct-17-2015|0
400000|Oct-18-2015|0
403125|Oct-18-2015|0
406250|Oct-19-2015|0
409375|Oct-19-2015|0
412500|Oct-20-2015|0
415625|Oct-21-2015|0
418750|Oct-21-2015|0
421875|Oct-22-2015|0
425000|Oct-23-2015|0
428125|Oct-23-2015|0
431250|Oct-24-2015|0
434375|Oct-24-2015|0
437500|Oct-25-2015|0
440625|Oct-26-2015|0
443750|Oct-26-2015|0
446875|Oct-27-2015|0
450000|Oct-27-2015|0
453125|Oct-28-2015|1
456250|Oct-29-2015|1
459375|Oct-29-2015|1
462500|Oct-30-2015|1
465625|Oct-31-2015|0
468750|Oct-31-2015|0
471875|Nov-01-2015|1
475000|Nov-01-2015|1
478125|Nov-02-2015|0
481250|Nov-03-2015|1
484375|Nov-03-2015|1
487500|Nov-04-2015|0
490625|Nov-04-2015|0
493750|Nov-05-2015|0
496875|Nov-06-2015|0
500000|Nov-06-2015|0
503125|Nov-07-2015|0
506250|Nov-08-2015|1
509375|Nov-08-2015|1
512500|Nov-09-2015|1
515625|Nov-09-2015|1
518750|Nov-10-2015|0
521875|Nov-11-2015|0
525000|Nov-11-2015|0
528125|Nov-12-2015|0
531250|Nov-12-2015|0
534375|Nov-13-2015|0
537500|Nov-14-2015|0
540625|Nov-14-2015|0
543750|Nov-15-2015|0
546875|Nov-16-2015|0
550000|Nov-16-2015|0
553125|Nov-17-2015|1
556250|Nov-17-2015|1
559375|Nov-18-2015|0
562500|Nov-19-2015|0
565625|Nov-19-2015|0
568750|Nov-20-2015|0
571875|Nov-21-2015|0
575000|Nov-21-2015|0
578125|Nov-22-2015|0
581250|Nov-22-2015|0
584375|Nov-23-2015|0
587500|Nov-24-2015|0
590625|Nov-24-2015|0
593750|Nov-25-2015|0
