Block Height|Total Difficulty
0|17,179,869,184
3125|125,477,233,904,159
6250|635,981,660,804,754
9375|1,941,382,277,940,421
12500|3,976,992,455,090,460
15625|6,554,494,738,966,909
18750|9,368,785,722,276,814
21875|12,453,600,102,494,412
25000|15,770,271,270,165,440
28125|19,275,231,083,596,430
31250|22,876,758,271,934,444
34375|26,715,456,974,274,176
37500|30,755,150,088,293,755
40625|34,998,738,223,401,892
43750|39,264,070,919,155,055
46875|43,747,367,084,984,903
50000|48,335,290,686,867,442
53125|53,182,346,393,726,527
56250|58,219,100,590,646,828
59375|63,562,994,919,826,628
62500|68,988,248,611,300,607
65625|74,803,707,616,218,172
68750|80,909,426,904,271,455
71875|87,522,591,799,353,994
75000|94,409,243,111,114,234
78125|101,396,344,547,051,154
81250|108,753,416,304,736,607
84375|116,339,877,924,748,298
87500|125,169,271,450,585,530
90625|135,372,422,402,835,614
93750|146,309,161,457,302,794
96875|157,478,827,554,166,390
100000|169,426,043,003,071,608
103125|181,643,054,585,743,299
106250|195,148,769,202,766,111
109375|208,925,984,582,564,090
112500|222,703,054,868,031,327
115625|236,715,966,058,111,261
118750|250,486,217,956,826,863
121875|264,300,045,067,897,468
125000|278,546,574,599,653,131
128125|294,140,045,301,808,698
131250|310,138,282,787,664,488
134375|326,191,428,751,833,501
137500|342,440,639,005,345,878
140625|358,612,418,444,582,921
143750|374,903,272,391,187,887
146875|392,180,278,932,125,402
150000|410,326,452,204,708,044
153125|428,929,965,325,158,937
156250|448,331,201,557,877,581
159375|468,439,398,741,313,388
162500|489,477,714,094,107,204
165625|510,558,572,994,981,721
168750|532,726,277,170,758,571
171875|556,055,364,653,536,045
175000|580,072,005,407,851,747
178125|606,564,518,717,805,926
181250|632,497,153,311,704,361
184375|653,069,879,345,599,372
187500|672,521,172,187,266,363
190625|692,026,352,940,583,694
193750|711,723,397,247,651,405
196875|731,542,795,220,425,989
200000|751,331,170,022,789,228
203125|770,498,240,267,532,471
206250|789,466,767,544,540,752
209375|808,820,413,767,044,800
212500|828,419,415,738,661,051
215625|848,115,117,481,363,611
218750|868,433,626,031,446,656
221875|889,410,121,424,614,857
225000|910,773,602,921,270,916
228125|932,729,394,615,173,447
231250|954,562,394,379,094,434
234375|975,148,002,987,784,345
237500|995,434,224,688,720,385
240625|1,015,348,659,792,608,618
243750|1,034,595,242,747,648,777
246875|1,053,890,973,808,888,317
250000|1,072,596,170,096,376,324
253125|1,090,454,513,455,798,861
256250|1,107,748,156,443,910,843
259375|1,124,983,717,974,625,842
262500|1,143,671,946,508,158,265
265625|1,163,581,710,153,681,093
268750|1,183,906,299,636,051,687
271875|1,204,473,624,896,610,321
275000|1,225,264,949,677,657,042
278125|1,246,550,431,477,728,749
281250|1,268,414,508,636,371,789
284375|1,290,369,101,933,321,500
287500|1,312,244,432,340,222,123
290625|1,333,996,594,435,884,397
293750|1,356,553,051,927,812,101
296875|1,379,217,592,331,919,827
300000|1,401,898,119,505,642,535
303125|1,423,585,096,684,469,626
306250|1,443,775,029,527,170,915
309375|1,462,573,157,051,936,920
312500|1,480,414,569,533,251,598
315625|1,497,604,056,885,622,212
318750|1,515,195,186,942,751,210
321875|1,533,651,868,673,649,706
325000|1,552,535,753,648,873,853
